Order Date|Channel|Brand Name|Product ID|ASIN|Title|UPC|Pack Size|No. Orders|Units Sold|Packs Sold|Sell-Out|Revenue|ASP|AOV|AOV:Units|Buy Box %|Sessions|PP CRV %|AMZ CRV %|created_on
2019-01-05|Amazon|Airborne|1169100|B000CLIPN6|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|1|4|15|15|56.85|86.25|5.75|21.56|3.8 Units|97.00%|23|17.39%|36.96%|2019-01-05 12:00:00
2019-02-03|Amazon|Airborne|1169100|B000CLIPN6|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|1|4|9|9|34.11|51.75|5.75|12.94|2.3 Units|100.00%|27|14.81%|25.93%|2019-02-03 12:00:00
2019-01-04|Amazon|Airborne|1169100|B000CLIPN6|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|1|5|11|11|41.69|63.25|5.75|12.65|2.2 Units|94.00%|28|17.86%|35.72%|2019-01-04 12:00:00
2019-01-25|Amazon|Airborne|1169100|B000CLIPN6|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|1|5|17|17|64.43|97.75|5.75|19.55|3.4 Units|96.00%|17|29.41%|123.53%|2019-01-25 12:00:00
2019-01-26|Amazon|Airborne|1169100|B000CLIPN6|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|1|6|15|15|56.85|86.25|5.75|14.38|2.5 Units|76.00%|13|46.15%|73.08%|2019-01-26 12:00:00
2019-02-05|Amazon|Airborne|1169100|B000CLIPN6|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|1|8|14|14|53.06|80.50|5.75|10.06|1.8 Units|98.00%|35|22.86%|55.72%|2019-02-05 12:00:00
2019-02-06|Amazon|Airborne|1169100|B000CLIPN6|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|1|9|18|18|68.22|103.50|5.75|11.50|2.0 Units|89.00%|36|25.00%|44.45%|2019-02-06 12:00:00
2019-03-10|Amazon|Airborne|1169100|B004CLEVZI|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|1|1|1|1|3.79|7.04|7.04|7.04|1.0 Units|0.00%|2|50.00%|50.00%|2019-03-10 12:00:00
2019-01-09|Amazon|Airborne|1169100|B004CLEVZI|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|1|1|2|2|7.58|13.26|6.63|13.26|2.0 Units|0.00%|0||0.00%|2019-01-09 12:00:00
2019-02-13|Amazon|Airborne|1169100|B004CLEVZI|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|1|1|2|2|7.58|14.90|7.45|14.90|2.0 Units|100.00%|1|100.00%|200.00%|2019-02-13 12:00:00
2019-02-27|Amazon|Airborne|1169100|B00BDCM5QQ|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|2|1|2|1|7.58|12.70|12.70|12.70|1.0 Units|100.00%|4|25.00%|125.00%|2019-02-27 12:00:00
2019-03-28|Amazon|Airborne|1169100|B00BDCM5QQ|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|2|1|2|1|7.58|12.70|12.70|12.70|1.0 Units|86.00%|4|25.00%|62.50%|2019-03-28 12:00:00
2019-03-08|Amazon|Airborne|1169100|B00BDCM5QQ|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|2|1|2|1|7.58|13.23|13.23|13.23|1.0 Units|100.00%|4|25.00%|25.00%|2019-03-08 12:00:00
2019-01-18|Amazon|Airborne|1169100|B00BDCM5QQ|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|2|1|2|1|7.58|13.99|13.99|13.99|1.0 Units|100.00%|1|100.00%|100.00%|2019-01-18 12:00:00
2019-03-21|Amazon|Airborne|1169100|B00BDCM5QQ|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|2|1|4|2|15.16|26.46|13.23|26.46|2.0 Units|100.00%|3|33.33%|66.67%|2019-03-21 12:00:00
2019-02-09|Amazon|Airborne|1169100|B00EZWSVZA|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|6|1|12|2|45.48|77.20|38.60|77.20|2.0 Units|0.00%|0||0.00%|2019-02-09 12:00:00
2019-03-22|Amazon|Airborne|1169100|B00EZWSVZA|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|6|1|6|1|22.74|38.02|38.02|38.02|1.0 Units|0.00%|3|33.33%|33.33%|2019-03-22 12:00:00
2019-01-28|Amazon|Airborne|1169100|B00EZWSVZA|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|6|1|6|1|22.74|38.60|38.60|38.60|1.0 Units|100.00%|9|11.11%|11.11%|2019-01-28 12:00:00
2019-03-01|Amazon|Airborne|1169100|B00H4H93VO|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|1|1|1|1|3.79|8.41|8.41|8.41|1.0 Units|0.00%|0||0.00%|2019-03-01 12:00:00
2019-03-11|Amazon|Airborne|1169100|B00H4H93VO|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|1|1|1|1|3.79|8.41|8.41|8.41|1.0 Units|100.00%|2|50.00%|50.00%|2019-03-11 12:00:00
2019-01-20|Amazon|Airborne|1169100|B00PKGCN1I|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|4|1|4|1|15.16|25.32|25.32|25.32|1.0 Units|||||2019-01-20 12:00:00
2019-01-10|Amazon|Airborne|1169100|B00PKGCN1I|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|4|1|4|1|15.16|25.32|25.32|25.32|1.0 Units|100.00%|2|50.00%|50.00%|2019-01-10 12:00:00
2019-01-07|Amazon|Airborne|1169100|B00PKGCN1I|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|4|1|4|1|15.16|25.32|25.32|25.32|1.0 Units|100.00%|4|25.00%|25.00%|2019-01-07 12:00:00
2019-01-16|Amazon|Airborne|1169100|B00PKGCN1I|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|4|1|4|1|15.16|25.32|25.32|25.32|1.0 Units|100.00%|5|20.00%|30.00%|2019-01-16 12:00:00
2019-01-04|Amazon|Airborne|1169100|B00PKGCN1I|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|4|1|4|1|15.16|25.32|25.32|25.32|1.0 Units|57.00%|5|20.00%|20.00%|2019-01-04 12:00:00
2019-02-19|Amazon|Airborne|1169100|B00PKGCN1I|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|4|1|4|1|15.16|25.58|25.58|25.58|1.0 Units|||||2019-02-19 12:00:00
2019-03-16|Amazon|Airborne|1169100|B00PKGCN1I|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|4|1|4|1|15.16|25.58|25.58|25.58|1.0 Units|0.00%|0||0.00%|2019-03-16 12:00:00
2019-02-20|Amazon|Airborne|1169100|B00PKGCN1I|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|4|1|4|1|15.16|25.58|25.58|25.58|1.0 Units|0.00%|2|50.00%|50.00%|2019-02-20 12:00:00
2019-02-21|Amazon|Airborne|1169100|B00PKGCN1I|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|4|1|4|1|15.16|25.58|25.58|25.58|1.0 Units|0.00%|3|33.33%|33.33%|2019-02-21 12:00:00
2019-03-04|Amazon|Airborne|1169100|B00PKGCN1I|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|4|1|4|1|15.16|25.58|25.58|25.58|1.0 Units|100.00%|11|9.09%|18.18%|2019-03-04 12:00:00
2019-01-26|Amazon|Airborne|1169100|B00PKGCN1I|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|4|1|4|1|15.16|25.58|25.58|25.58|1.0 Units|100.00%|2|50.00%|50.00%|2019-01-26 12:00:00
2019-02-17|Amazon|Airborne|1169100|B00PKGCN1I|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|4|1|4|1|15.16|25.58|25.58|25.58|1.0 Units|100.00%|2|50.00%|50.00%|2019-02-17 12:00:00
2019-03-23|Amazon|Airborne|1169100|B00PKGCN1I|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|4|1|4|1|15.16|25.58|25.58|25.58|1.0 Units|100.00%|2|50.00%|50.00%|2019-03-23 12:00:00
2019-03-06|Amazon|Airborne|1169100|B00PKGCN1I|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|4|1|4|1|15.16|25.58|25.58|25.58|1.0 Units|100.00%|2|50.00%|75.00%|2019-03-06 12:00:00
2019-02-10|Amazon|Airborne|1169100|B00PKGCN1I|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|4|1|4|1|15.16|25.58|25.58|25.58|1.0 Units|100.00%|3|33.33%|33.33%|2019-02-10 12:00:00
2019-02-13|Amazon|Airborne|1169100|B00PKGCN1I|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|4|1|4|1|15.16|25.58|25.58|25.58|1.0 Units|100.00%|3|33.33%|33.33%|2019-02-13 12:00:00
2019-03-14|Amazon|Airborne|1169100|B00PKGCN1I|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|4|1|4|1|15.16|25.58|25.58|25.58|1.0 Units|100.00%|3|33.33%|33.33%|2019-03-14 12:00:00
2019-03-25|Amazon|Airborne|1169100|B00PKGCN1I|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|4|1|4|1|15.16|25.58|25.58|25.58|1.0 Units|100.00%|3|33.33%|50.00%|2019-03-25 12:00:00
2019-02-24|Amazon|Airborne|1169100|B00PKGCN1I|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|4|1|4|1|15.16|25.58|25.58|25.58|1.0 Units|100.00%|4|25.00%|25.00%|2019-02-24 12:00:00
2019-02-01|Amazon|Airborne|1169100|B00PKGCN1I|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|4|1|4|1|15.16|25.58|25.58|25.58|1.0 Units|100.00%|5|20.00%|40.00%|2019-02-01 12:00:00
2019-02-23|Amazon|Airborne|1169100|B00PKGCN1I|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|4|1|4|1|15.16|25.58|25.58|25.58|1.0 Units|100.00%|6|16.67%|25.00%|2019-02-23 12:00:00
2019-03-21|Amazon|Airborne|1169100|B00PKGCN1I|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|4|1|4|1|15.16|25.58|25.58|25.58|1.0 Units|100.00%|6|16.67%|33.34%|2019-03-21 12:00:00
2019-02-25|Amazon|Airborne|1169100|B00PKGCN1I|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|4|1|4|1|15.16|25.58|25.58|25.58|1.0 Units|100.00%|7|14.29%|14.29%|2019-02-25 12:00:00
2019-03-11|Amazon|Airborne|1169100|B00PKGCN1I|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|4|1|4|1|15.16|25.58|25.58|25.58|1.0 Units|100.00%|8|12.50%|25.00%|2019-03-11 12:00:00
2019-02-07|Amazon|Airborne|1169100|B00PKGCN1I|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|4|1|4|1|15.16|25.58|25.58|25.58|1.0 Units|56.00%|9|11.11%|22.22%|2019-02-07 12:00:00
2019-03-27|Amazon|Airborne|1169100|B00PKGCN1I|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|4|1|4|1|15.16|25.58|25.58|25.58|1.0 Units|75.00%|4|25.00%|37.50%|2019-03-27 12:00:00
2019-02-28|Amazon|Airborne|1169100|B00PKGCN1I|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|4|1|4|1|15.16|25.58|25.58|25.58|1.0 Units|83.00%|5|20.00%|20.00%|2019-02-28 12:00:00
2019-03-29|Amazon|Airborne|1169100|B00PKGCN1I|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|4|1|4|1|15.16|26.94|26.94|26.94|1.0 Units|100.00%|4|25.00%|50.00%|2019-03-29 12:00:00
2019-01-17|Amazon|Airborne|1169100|B00PKGCN1I|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|4|1|8|2|30.32|50.64|25.32|50.64|2.0 Units|100.00%|12|8.33%|25.00%|2019-01-17 12:00:00
2019-01-06|Amazon|Airborne|1169100|B00PKGCN1I|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|4|1|8|2|30.32|50.64|25.32|50.64|2.0 Units|86.00%|6|16.67%|41.67%|2019-01-06 12:00:00
2019-03-05|Amazon|Airborne|1169100|B00PKGCN1I|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|4|1|8|2|30.32|51.16|25.58|51.16|2.0 Units|100.00%|4|25.00%|50.00%|2019-03-05 12:00:00
2019-01-02|Amazon|Airborne|1169100|B00PKGCN1I|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|4|1|8|2|30.32|53.20|26.60|53.20|2.0 Units|88.00%|5|20.00%|40.00%|2019-01-02 12:00:00
2019-01-19|Amazon|Airborne|1169100|B00PKGCN1I|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|4|2|8|2|30.32|50.64|25.32|25.32|1.0 Units|100.00%|7|28.57%|35.72%|2019-01-19 12:00:00
2019-02-09|Amazon|Airborne|1169100|B00PKGCN1I|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|4|2|8|2|30.32|51.16|25.58|25.58|1.0 Units|100.00%|2|100.00%|50.00%|2019-02-09 12:00:00
2019-03-18|Amazon|Airborne|1169100|B00PKGCN1I|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|4|2|8|2|30.32|51.16|25.58|25.58|1.0 Units|100.00%|2|100.00%|75.00%|2019-03-18 12:00:00
2019-03-12|Amazon|Airborne|1169100|B00PKGCN1I|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|4|2|8|2|30.32|51.16|25.58|25.58|1.0 Units|100.00%|5|40.00%|50.00%|2019-03-12 12:00:00
2019-03-07|Amazon|Airborne|1169100|B00PKGCN1I|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|4|2|8|2|30.32|51.16|25.58|25.58|1.0 Units|100.00%|9|22.22%|38.89%|2019-03-07 12:00:00
2019-03-17|Amazon|Airborne|1169100|B00PKGCN1I|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|4|3|12|3|45.48|76.74|25.58|25.58|1.0 Units|0.00%|0||0.00%|2019-03-17 12:00:00
2019-03-09|Amazon|Airborne|1169100|B00PKGCN1I|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|4|3|12|3|45.48|76.74|25.58|25.58|1.0 Units|100.00%|5|60.00%|50.00%|2019-03-09 12:00:00
2019-02-04|Amazon|Airborne|1169100|B00PKGCN1I|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|4|3|24|6|90.96|153.48|25.58|51.16|2.0 Units|0.00%|0||0.00%|2019-02-04 12:00:00
2019-01-24|Amazon|Airborne|1169100|B018UT1UE2|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|3|1|3|1|11.37|19.59|19.59|19.59|1.0 Units|0.00%|0||0.00%|2019-01-24 12:00:00
2019-01-07|Amazon|Airborne|1169100|B018UT1UE2|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|3|1|3|1|11.37|19.60|19.60|19.60|1.0 Units|100.00%|3|33.33%|33.33%|2019-01-07 12:00:00
2019-02-04|Amazon|Airborne|1169100|B018UT1UE2|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|3|1|3|1|11.37|19.83|19.83|19.83|1.0 Units|0.00%|0||0.00%|2019-02-04 12:00:00
2019-03-24|Amazon|Airborne|1169100|B018UT1UE2|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|3|1|3|1|11.37|19.83|19.83|19.83|1.0 Units|0.00%|1|100.00%|100.00%|2019-03-24 12:00:00
2019-03-03|Amazon|Airborne|1169100|B018UT1UE2|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|3|1|3|1|11.37|19.83|19.83|19.83|1.0 Units|100.00%|1|100.00%|100.00%|2019-03-03 12:00:00
2019-02-25|Amazon|Airborne|1169100|B018UT1UE2|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|3|1|3|1|11.37|19.84|19.84|19.84|1.0 Units|100.00%|4|25.00%|25.00%|2019-02-25 12:00:00
2019-03-31|Amazon|Airborne|1169100|B018UT1UE2|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|3|1|3|1|11.37|20.99|20.99|20.99|1.0 Units|100.00%|4|25.00%|25.00%|2019-03-31 12:00:00
2019-03-30|Amazon|Airborne|1169100|B018UT1UE2|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|3|1|3|1|11.37|21.06|21.06|21.06|1.0 Units|100.00%|1|100.00%|100.00%|2019-03-30 12:00:00
2019-02-27|Amazon|Airborne|1169100|B018UT1UE2|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|3|1|6|2|22.74|39.66|19.83|39.66|2.0 Units|100.00%|3|33.33%|66.67%|2019-02-27 12:00:00
2019-01-16|Amazon|Airborne|1169100|B018UT1UE2|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|3|2|6|2|22.74|39.20|19.60|19.60|1.0 Units|100.00%|3|66.67%|66.67%|2019-01-16 12:00:00
2019-02-01|Amazon|Airborne|1169100|B01LY4XHCE|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|2|1|2|1|7.58|14.75|14.75|14.75|1.0 Units|0.00%|1|100.00%|100.00%|2019-02-01 12:00:00
2019-03-04|Amazon|Airborne|1169100|B01LY4XHCE|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|2|1|2|1|7.58|14.84|14.84|14.84|1.0 Units|||||2019-03-04 12:00:00
2019-02-07|Amazon|Airborne|1169100|B01LY4XHCE|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|2|1|2|1|7.58|14.84|14.84|14.84|1.0 Units|0.00%|0||0.00%|2019-02-07 12:00:00
2019-03-26|Amazon|Airborne|1169100|B01LY4XHCE|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|2|1|2|1|7.58|14.84|14.84|14.84|1.0 Units|0.00%|1|100.00%|100.00%|2019-03-26 12:00:00
2019-03-12|Amazon|Airborne|1169100|B01LY4XHCE|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|2|1|4|2|15.16|29.68|14.84|29.68|2.0 Units|100.00%|4|25.00%|50.00%|2019-03-12 12:00:00
2019-01-15|Amazon|Airborne|1169100|B0723DN99B|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|8|1|8|1|30.32|51.30|51.30|51.30|1.0 Units|100.00%|1|100.00%|100.00%|2019-01-15 12:00:00
2019-02-14|Amazon|Airborne|1169100|B072JCFSCL|Airborne Lemon Lime Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100041|5|1|5|1|18.95|32.90|32.90|32.90|1.0 Units|0.00%|0||0.00%|2019-02-14 12:00:00
2019-01-16|Amazon|Airborne|1169125|B000GCL86W|Airborne Pink Grapefruit Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100171|1|1|1|1|3.79|8.79|8.79|8.79|1.0 Units|0.00%|1|100.00%|100.00%|2019-01-16 12:00:00
2019-03-21|Amazon|Airborne|1169125|B000GCL86W|Airborne Pink Grapefruit Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100171|1|1|1|1|3.79|8.79|8.79|8.79|1.0 Units|100.00%|1|100.00%|100.00%|2019-03-21 12:00:00
2019-03-04|Amazon|Airborne|1169125|B000GCL86W|Airborne Pink Grapefruit Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100171|1|1|1|1|3.79|8.84|8.84|8.84|1.0 Units|100.00%|2|50.00%|50.00%|2019-03-04 12:00:00
2019-03-06|Amazon|Airborne|1169125|B000GCL86W|Airborne Pink Grapefruit Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100171|1|1|1|1|3.79|8.84|8.84|8.84|1.0 Units|100.00%|2|50.00%|50.00%|2019-03-06 12:00:00
2019-02-14|Amazon|Airborne|1169125|B000GCL86W|Airborne Pink Grapefruit Effervescent Tablets, 10 count - 1000mg of Vitamin C - Immune Support Supplement|647865100171|1|1|1|1|3.79|8.85|8.85|8.85|1.0 Units|100.00%|3|33.33%|33.33%|2019-02-14 12:00:00
